//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 44630000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
44630000;1;01/11/2006;;1;1;100;2,1666;30,7459;21;1;0;0;1;;0;2,1666;4,4124;5,6042;6,3936;6,5031;7,0083;7,3565;7,5937;8,7761;10,1211;15,744;13,1245;13,205;74,9;52,2;45;54;55;76,7;84,7;98,3;74;49,8;21,4482;19,9077;18,915;19,4079;17,2903;24,24;28,56;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
44630000;1;01/12/2006;;1;1;100;9,1688;29,1171;17;8;0;0;1;;0;30;26,4;25,68;27,48;23,52;19,5073;16,4619;10,6882;10,5448;15,0433;21,0313;22,0818;36,4;48,2;57;82,1;74;50,6;49,8;40,1;22,8;22,8;13,1245;13,9414;14,108;21,4482;20,9278;20,6189;21,4482;21,9755;22,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/01/2007;;1;1;115;5,8611;14,8445;2;28;0;0;1;;0;33,6;57;21,0313;19,5073;18,6226;16,4619;15,8328;15,13;13,9414;14,108;10,2613;8,1423;8,3927;9,1688;11,3461;15,3041;18,0451;19,5073;15,744;14,8709;14,957;13,0442;9,4357;10,1211;6,3936;6,3936;6,0711;5,8611;8,8409;10,4736;12,5684;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/02/2007;;1;1;170;13,1245;60,7592;16;1;0;0;1;;0;15,6555;20,2108;21,4482;21,4482;22,2952;26,4;63;71,8;66,3;57;51,4;47,4;38;39,4;84,7;167,5;144;112;100;86,4;79,4;74;59;49;47,4;46,6;46,6;42,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
44630000;1;01/03/2007;;1;1;40,8;5,3535;12,6728;1;31;0;0;1;;0;38;34,8;30;21,4482;19,5073;18,3326;17,6655;15,4792;14,2756;13,1245;12,1792;10,7602;9,8438;9,4357;8,7761;8,6473;8,267;8,1423;8,0186;8,0186;7,9571;8,3927;9,5031;7,8959;7,835;6,9512;6,3936;6,3392;5,8092;5,6551;5,4032;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/04/2007;;1;1;5,3535;3,5686;4,4152;1;29;0;0;1;;0;5,3041;5,255;5,1574;4,9653;4,8707;4,7771;4,6844;4,6385;4,5021;4,5473;4,7306;4,7306;4,6844;4,7771;4,9179;4,6385;4,5928;4,3236;4,3236;4,1491;4,0207;3,9784;3,9363;3,8529;3,8116;3,7296;3,7296;3,6486;3,6085;3,5686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
44630000;1;01/05/2007;;1;1;3,5686;2,417;2,8424;1;22;0;0;1;;0;3,5686;3,4895;3,4503;3,4114;3,4114;3,3342;3,3342;3,3342;3,3342;3,3342;3,3342;3,3342;2,751;2,751;2,6823;2,5478;2,5478;2,5478;2,482;2,482;2,482;2,417;2,417;2,417;2,417;2,417;2,417;2,417;2,417;2,417;2,417;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/06/2007;;1;1;2,417;1,8742;2,1026;1;30;2;2;2;;0;2,417;2,417;2,353;2,353;2,29;2,29;2,29;2,1666;2,1666;2,1666;2,1666;2,1666;2,1063;2,1063;2,1063;2,1063;2,0765;2,0469;2,0469;1,9884;1,9308;1,9308;1,9308;1,9308;1,9308;1,9308;1,9308;1,9308;1,9308;1,8742;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;0;
44630000;1;01/07/2007;;1;1;1,9024;1,7097;1,7922;9;19;0;0;1;;0;1,8742;1,8742;1,8742;1,8742;1,8742;1,8742;1,8742;1,8742;1,8883;1,8742;1,8742;1,8185;1,8185;1,8185;1,8185;1,8185;1,8185;1,7909;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1,7097;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/08/2007;;1;1;1,7097;1,405;1,5643;1;30;2;2;2;;0;1,7097;1,7097;1,6567;1,6567;1,6567;1,6305;1,6046;1,6046;1,6046;1,6046;1,6046;1,6046;1,6046;1,6046;1,6046;1,6046;1,5533;1,5533;1,5533;1,5281;1,503;1,503;1,503;1,503;1,503;1,503;1,503;1,4782;1,4292;1,405;1,405;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;
44630000;1;01/09/2007;;1;1;1,405;1,121;1,2078;1;16;0;0;1;;0;1,405;1,405;1,3574;1,3574;1,3574;1,3574;1,2723;1,2723;1,2723;1,2723;1,2723;1,2334;1,1952;1,1952;1,1952;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;1,121;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
44630000;1;01/10/2007;;1;1;1,597067;1,104098;1,29477;21;31;1;1;1;;;1,371728;1,371728;1,371728;1,371728;1,371728;1,371728;1,371728;1,215141;1,215141;1,215141;1,140504;1,140504;1,140504;1,140504;1,140504;1,140504;1,140504;1,140504;1,215141;1,521313;1,597067;1,521313;1,496495;1,453687;1,453687;1,453687;1,453687;1,215141;1,140504;1,140504;1,104098;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/11/2007;;1;1;;;;;;;;;;;1,104098;1,253372;1,371728;1,177518;1,068299;1,412402;1,597067;2,005288;2,18242;1,546348;;;;;;;;;0,4557229;0,4789163;0,5270824;0,5270824;0,5270824;0,5776265;0,6037923;2,399155;1,292214;3,414007;4,665299;5,034085;;1;1;1;1;1;1;1;1;1;1;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;
44630000;1;01/12/2007;;1;1;113,5;2,463082;15,54294;27;10;1;1;1;;;5,320458;5,224066;6,125359;4,80185;2,935637;2,79613;2,727727;2,727727;2,593614;2,463082;2,463082;2,727727;2,79613;2,79613;2,83067;3,078752;3,687502;4,354796;4,354796;4,710584;6,021453;12,01422;16,58027;22,03506;47,4;84,7;113,5;75,8;20,61905;6,934784;4,710584;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44630000;1;01/01/2008;;1;1;6,713725;1,140504;3,89066;16;7;1;1;1;;;4,268162;4,013793;2,304936;2,33612;1,808656;1,571599;1,140504;2,212717;2,463082;2,593614;2,593614;3,151665;3,225485;3,808142;4,097662;6,713725;4,225191;6,604619;6,496461;5,665204;5,565533;4,710584;4,710584;4,710584;4,710584;4,710584;4,710584;4,182451;3,848814;3,7677;3,687502;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
